Id,Comment,Review
1,Umda shot! 😍,1
2,Yeh tasveer pasand hai! ❤️,1
3,Zabardast content! 👌,1
4,Shandar post! 😊,1
5,Khoobsurat capture! ,1
6,Bilkul hairat angez! 😍,1
7,Karigar kaam! 👏,1
8,Yeh toh awesome hai! 🙌,1
9,Bahut prerna dene wala! 💫,1
10,Bilkul pyaar hai ise! 💖,1
11,Not impressed,0
12,Nirasha janak photo. 😕,0
13,Yeh mere cup ki chai nahi. 🤷‍♂️,0
14,Thoda behtar ho sakta hai. 🤔,0
15,"Meh, yeh thik hai. 😐",0
16,Kuch khaas nahi. 🙄,0
17,Sudhar ki zarurat hai. 💭,0
18,Mujhe yeh pasand nahi. 😔,0
19,Bas thik hai. 😕,0
20,Thoda aur creative ho sakta tha. 💡,0
21,Yeh lajawab hai! 😍,1
22,Vibes pasand hai! ✨,1
23,Bahut talent hai! 👏,1
24,Bilkul shandar! 💖,1
25,Yeh dil churane wala hai! 😱,1
26,Shandar kaam! 👍,1
27,Isse mein dewana! 😍,1
28,Tumne toh bullseye lagaya! 🎯,1
29,Isse mein obsessed! 😍,1
30,Shandar kaam! 💯,1
31,Yeh mere style nahi. 🤷‍♀️,0
32,Yeh mujhe nahi lag raha. 😔,0
33,Thoda behtar execute kiya ja sakta tha. 💭,0
34,Meri nazar mein nahi aaya. 🙄,0
35,Ismein sudhar ki zarurat hai. 📝,0
36,Kuch kami hai. 🤔,0
37,Yeh meri ummedo se alag hai. 😕,0
38,Nishana chook gaya. 🎯,0
39,"Acha prayas, par nahi. 🚫",0
40,Yeh toh aag hai! 🔥,1
41,Yahaan itna talent hai! 👌,1
42,Bilkul hairat angez! 😍,1
43,Karigar click! 📸,1
44,Yeh perfection hai! 👌,1
45,Bilkul fascinate kar dene wala! 😍,1
46,Prabhavit karne wala kaam! 👏,1
47,Mujhe yeh bilkul pasand hai! 💖,1
48,Yeh lajawab hai! 😍,1
49,Mujhe yeh sab kuch hai! 💖,1
50,Dimag uda dene wala! 🤯,1
51,Itna talent! 👏,1
52,Yeh epic hai! 🚀,1
53,Sach mein impress ho gaya! 👍,1
54,Yeh top-notch hai! 👌,1
55,Pura brilliance hai! 💫,1
56,Prerna dene wala! 🌈,1
57,Nishana lagane mein kami reh gayi. 😔,0
58,Vichar shunya hai. 🤔,0
59,Nichle star tak pahunchne mein kami hai. 😕,0
60,Aur ummed thi. 😒,0
61,Mera style nahi. 🤷‍♂️,0
62,Thoda behtar execute kiya ja sakta tha. 💭,0
63,Yeh meri dhyan nahi bhatkata. 🙄,0
64,Nishana chook gaya. 🎯,0
65,Meri cup ki chai nahi. 🍵,0
66,Yeh lajawab hai! 😍,1
67,Yeh sab kuch hai! 🌟,1
68,Mujhe yeh sab kuch hai! 😍,1
69,Karigar kaam! 👏,1
70,Shot pasand aaya! 😍,1
71,Zabardast kaam! ✨,1
72,Shandar tasveer! 👏,1
73,Brilliant! 🙌,1
74,Bilkul khoobsurat! 💖,1
75,Aisa pyaara photo! 😊,1
76,Mujhe yeh pasand nahi. 😔,0
77,Yeh achha nahi hai. 😞,0
78,Nirasha janak quality. 😔,0
79,Mujhe behtar ummed thi. 😕,0
80,Mujhe ismein koi dilchaspi nahi hai. 😴,0
81,Yeh bhayanak hai. 😠,0
82,Main nirasha mein hoon. 😞,0
83,Iske baare mein thoda bhi dhyan nahi hai. 🤷‍♂️,-1
84,"Yeh thik hai, maine socha. 😐",-1
85,Mujhe iske baare mein mishrit vichar hain. 🤔,-1
86,Main iske baare mein kisi mazboot raay nahi rakhta. 😐,-1
87,Main iske baare mein udas hoon. 🤔,-1
88,Main iske baare mein nishprabhavi hoon. 😐,-1
89,Yeh behtar ho sakta hai. ,0
90,Yeh kamaal hai! Tumhare liye bahut khush hoon. ,1
91,Khusi se phat gaya!,1
92,Itna jeet! ,1
93,Main badal ke paar hoon!,1
94,Yeh mera din ban gaya!,1
95,Iske dekhne ke baad main niche mehsoos kar raha hoon. ,0
96,Yeh woh nahi tha jo main ummeed kar raha tha. ,0
97,Nirasha mein hoon. ,0
98,Nirasha mein hoon. ,0
99,Gusse mein hoon.,0
100,Mujhe kuch khaas nahi. ,-1
